Blog	times	together	better	photos	word	add	house	point	came	using	business	either	done	else	over	site	help	page	needs	their	story	personal	again	report	getting	happy	u	take	will	minutes	recently	watch	three	service	give	build	call	big	hope	app	into	how	read	way	man	worked	around	group	million	second	won	kind	pretty	ways	president	future	still	play	itself	both	live	does	user	example	got	post	everyone	ago	same	home	amp	show	change	others	make	go	only	has	companies	android	also	write	say	start	love	mean	people	based	he	words	fast	system	taking	though	case	all	works	questions	created	ask	comes	day	youtube	any	american	looking	found	never	really	made	across	z	email	learn	few	talk	control	next	me	see	security	lot	right	interesting	money	did	series	months	left	york	likely	social	tips	book	twitter	four	via	wants	available	don	tool	myself	off	once	need	website	public	writing	photo	always	place	car	hand	been	human	less	posted	shot	during	blog	having	said	hard	head	reason	days	ve	called	small	back	tell	rather	very	told	try	gets	problem	dead	someone	find	data	up	each	outside	features	check	now	technology	idea	means	five	run	every	open	your	product	special	such	own	network	review	year	do	years	high	away	possible	face	while	share	line	thought	morning	bad	several	part	popular	facebook	little	company	why	original	state	after	tv	happens	easy	doing	ever	remember	information	view	value	video	they	reading	takes	until	since	known	recent	had	friday	working	apple	yes	nbsp	want	lead	google	free	making	set	far	x	continue	content	short	yet	support	keep	weekend	instead	com	team	close	most	took	look	within	building	didn	its	readers	enough	smart	already	amazon	latest	who	thing	full	links	night	design	going	think	co	week	later	am	interview	david	when	great	stop	use	says	yesterday	which	move	number	work	level	d	then	things	ll	down	wrong	two	health	update	or	please	art	month	tech	might	water	top	self	stuff	first	order	web	internet	fact	know	april	our	users	another	spend	long	asked	here	today	question	nothing	music	create	so	friends	too	these	let	posts	name	started	yourself	apps	phone	past	would	stories	visit	everything	should	seen	whole	there	old	through	probably	come	good	turn	often	where	anything	important	course	us	news	link	white	him	deal	if	his	center	because	even	were	above	without	sure	major	get	click	project	bit	actually	digital	used	other	anyone	tools	anti	something	become	may	than	least	time	almost	research	being	key	list	doesn	sometimes	version	she	out	no	program	m	favorite	feel	before	person	obama	success	issue	family	send	wrote	end	note	re	maybe	aren	following	media	trying	world	some	single	under	her	well	them	isn	community	different	city	text	put	mark	store	online	real	images	k	makes	against	best	last	seems	between	whether	much	wasn	could	went	game	search	those	th	black	life	many
Jeremy Zawodny's blog	3	2	2	5	0	0	0	4	1	4	4	3	0	1	9	1	5	0	0	13	0	0	0	0	6	2	0	3	12	4	2	1	1	2	3	1	1	0	0	0	9	8	3	13	0	3	3	4	0	3	0	0	1	0	0	2	4	0	1	4	0	3	0	0	8	2	4	6	3	1	0	0	1	3	4	9	7	7	0	0	7	2	6	1	0	1	6	0	9	0	3	1	1	1	1	12	0	1	0	1	0	8	0	2	0	2	1	3	12	7	8	0	3	0	13	3	2	5	17	10	0	7	5	3	0	7	1	0	4	0	2	1	0	1	1	1	1	2	2	1	0	3	5	1	5	0	2	0	0	1	1	0	3	6	0	1	0	0	2	3	5	2	5	1	1	0	7	2	5	16	0	1	16	2	4	1	2	0	0	2	4	24	5	2	0	2	5	0	2	1	0	1	1	0	13	1	0	3	0	4	0	2	6	8	6	4	2	1	6	0	14	0	0	0	3	0	0	0	2	2	5	1	0	11	0	2	0	2	3	3	1	1	7	0	26	4	0	4	7	1	2	17	0	4	0	0	0	3	4	0	1	1	4	2	3	0	1	3	2	0	2	0	3	0	3	0	8	6	0	0	0	11	0	0	2	0	1	0	0	5	3	3	0	2	0	8	3	0	4	2	4	0	0	16	2	1	10	0	2	9	0	2	6	0	13	16	5	8	25	5	6	0	0	23	3	0	0	0	2	13	4	0	2	13	0	0	2	3	5	0	22	2	4	0	10	4	6	3	0	0	0	0	23	0	5	1	0	0	3	1	1	0	0	0	8	1	2	2	6	2	1	19	0	2	6	1	6	4	2	8	2	4	3	28	0	0	0	4	0	18	10	0	6	4	24	3	1	3	0	16	0	0	11	1	1	1	8	2	2	0	7	0	5	4	0	23	0	0	4	0	1	1	0	0	2	8	5	0	6	2	1	12	2	0	1	2	0	1	1	5	4	5	3	0	1	1	3	1	22	1	0	1	7	7	0	0	1	0	0	2	0	0	0	1	0	0	4	1	2	2	3	2	0	4	2	13	6	0	1	2	0	0	1	3
Eschaton	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	2	2	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	0	2	1	0	2	0	0	1	1	0	3	3	1	2	0	0	1	0	0	0	1	1	12	0	4	0	0	0	0	0	0	3	0	0	0	0	1	2	0	3	0	0	0	1	3	0	0	0	0	0	2	0	0	0	3	1	2	1	2	0	2	1	0	0	1	0	1	2	0	0	0	0	0	0	0	9	0	0	1	1	1	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	2	1	0	0	0	1	0	0	2	0	0	2	0	1	1	2	1	0	1	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	2	0	0	8	0	0	0	3	0	5	2	0	0	0	1	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	2	0	2	1	0	0	4	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	4	1	2	0	0	2	0	0	1	2	2	0	0	0	0	7	3	1	4	0	1	0	0	1	0	3	1	0	2	5	0	0	2	0	0	1	3	0	0	1	2	1	0	0	2	0	0	3	0	0	0	0	2	1	3	0	0	1	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	1	2	0	0	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	1	1
Go Fug Yourself	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	10	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	19	1	0	0	0	0	0	1	0	0	20	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	10	10	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Lifehack	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	2	1	0	0	0	1	0	0	2	2	0	0	0	1	0	2	0	0	0	0	0	0	5	3	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	4	2	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	3	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0	5	3	6	0	0	1	0	0	0	2	0	1	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	1	2	0	0	0	0	2	1	2	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	4	0	0	1	2	0	0	0	5	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1
blog maverick	0	0	1	0	0	0	0	1	0	0	3	0	1	0	3	0	1	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	1	1	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	1	0	1	0	0	2	1	0	3	0	1	0	1	3	1	1	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	2	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	4	0	0	0	4	0	0	0	0	0	8	1	0	1	0	3	0	1	0	1	0	5	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	4	5	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	5	0	1	3	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	3	1	0	0	0	1	0	0	3	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0
Schneier on Security	0	1	4	0	0	5	0	1	0	2	0	4	1	6	6	0	0	0	0	3	5	1	1	2	1	1	4	5	12	1	1	0	0	0	2	5	0	0	2	0	8	5	0	1	0	2	1	0	1	1	1	2	1	1	0	2	2	0	0	5	0	1	0	2	1	2	2	0	0	2	0	0	2	3	3	3	5	9	1	0	5	0	1	2	0	1	2	1	25	1	0	3	1	4	0	9	2	1	0	0	0	3	0	9	0	0	3	1	0	1	1	0	1	0	1	1	2	3	1	1	20	3	2	1	0	4	1	0	0	1	0	1	0	2	1	2	0	1	1	2	3	1	2	0	3	2	0	0	0	2	1	2	0	3	0	0	0	0	0	1	0	2	4	0	1	1	1	3	0	3	0	2	2	2	0	2	2	0	8	2	4	5	0	1	0	1	6	5	1	3	0	0	1	0	5	0	0	2	3	10	2	2	3	2	2	0	6	0	7	0	0	0	0	0	2	1	0	1	1	0	1	0	1	2	0	0	0	0	0	1	13	0	1	0	6	0	2	0	4	4	1	4	1	4	0	2	0	1	0	0	2	3	1	0	3	0	0	0	0	0	2	0	1	1	2	0	2	0	1	1	1	0	4	0	1	5	3	0	0	17	3	0	0	0	1	5	1	0	0	0	1	0	1	4	2	0	12	0	0	6	0	0	1	1	1	6	3	1	0	0	1	0	0	11	0	0	1	0	7	0	4	1	0	1	2	1	18	3	0	1	10	0	2	0	2	2	3	7	1	2	0	1	9	0	1	4	0	0	1	0	0	0	2	0	3	1	0	6	1	2	0	10	0	2	1	0	4	1	0	2	0	2	3	10	4	0	0	4	1	3	8	0	7	4	2	2	2	0	1	1	0	1	0	1	0	5	5	6	3	0	2	4	0	5	0	1	1	2	3	3	3	3	0	1	0	7	7	6	2	0	0	3	5	0	0	2	0	0	6	3	1	1	1	1	0	0	0	2	6	1	0	0	3	2	3	3	1	0	0	0	0	0	0	3	0	0	1	7	0	3	1	0	1	3	2	5	0	0	0	1	0	0	1	2
Engadget RSS Feed	3	0	1	0	0	0	2	1	0	2	1	0	0	0	2	1	1	0	0	3	0	0	1	2	0	0	0	0	2	0	2	0	0	3	0	0	2	1	2	0	2	2	1	0	1	0	0	1	0	0	0	0	1	0	2	2	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	4	11	1	2	2	0	0	0	0	0	1	1	0	0	2	1	0	2	1	5	1	0	2	2	1	0	0	2	0	0	0	0	1	1	1	2	4	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	1	1	0	1	0	1	3	0	1	1	0	1	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	2	0	2	1	0	0	0	3	2	0	0	1	0	0	0	7	1	0	0	0	3	0	0	3	1	0	0	0	0	1	0	2	1	0	2	1	1	0	3	0	3	0	0	0	2	0	0	1	2	1	0	0	1	0	0	3	2	0	0	0	0	1	1	0	2	1	0	0	0	0	10	1	2	0	2	1	0	0	1	0	0	1	2	0	0	0	0	1	0	1	1	0	0	8	0	0	3	0	2	1	2	0	1	0	1	1	0	3	2	5	0	0	0	0	0	0	0	2	3	0	1	1	0	0	0	2	1	2	2	0	0	0	0	0	8	0	0	1	4	2	0	0	0	0	3	0	2	1	0	0	0	1	1	0	1	2	0	0	0	0	0	1	1	1	3	1	3	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	0	0	1	0	0	3	1	0	2	0	0	4	3	0	1	0	1	0	1	0	1	1	2	0	1	0	0	0	0	0	1	0	1	0	3	2	1	2	1	2	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	1	3	0	0	0	2	2	3	1	0	2	0	1	0	2	2	1	0	0	0	1	1	1	0	2	0	0	0	2	1	3	2	0	2	4	0	0
Derek Powazek	1	1	0	2	3	0	0	0	1	1	1	0	1	1	5	2	0	1	0	4	3	0	2	0	2	4	0	1	5	1	0	1	4	0	0	0	1	1	2	0	4	7	0	0	1	1	1	0	0	0	0	1	0	1	0	0	4	0	2	2	2	0	0	0	1	3	1	2	3	0	0	3	1	0	1	4	1	5	0	0	2	3	3	0	1	0	2	0	5	0	1	0	1	0	0	10	0	1	0	1	1	2	1	0	0	1	1	3	2	2	0	0	0	0	5	3	0	1	15	3	0	1	4	0	3	4	0	2	1	0	0	0	0	6	1	0	0	0	1	4	0	0	1	2	1	0	0	2	0	4	0	1	1	8	0	1	1	1	0	1	0	3	3	0	0	4	11	0	2	2	0	0	1	0	1	2	0	2	0	1	0	11	1	1	1	0	10	0	0	0	0	0	3	1	6	1	2	0	2	1	0	4	7	5	1	1	1	1	1	1	0	1	2	3	0	2	0	0	7	1	1	0	0	4	0	1	2	1	1	0	0	0	0	0	6	4	0	0	1	0	0	3	2	0	0	1	0	1	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	1	0	1	2	3	0	0	0	1	1	2	5	0	1	0	0	1	4	1	0	2	1	4	4	0	3	1	3	0	0	11	5	0	0	0	0	2	0	1	3	0	2	7	1	4	2	1	9	0	1	5	0	0	0	1	1	0	2	1	1	3	0	1	1	0	6	0	3	0	3	0	1	0	6	2	0	0	0	2	7	2	2	2	1	0	0	2	1	0	0	0	0	1	1	2	1	1	0	7	2	1	1	3	1	0	2	0	1	0	1	4	1	2	1	2	1	9	3	0	3	1	2	0	0	1	0	6	0	0	0	0	1	1	3	0	0	0	8	0	0	2	0	4	1	0	0	1	0	0	0	0	7	9	2	0	12	0	5	1	0	0	0	8	1	0	1	0	0	7	1	0	1	2	0	3	3	1	1	9	2	2	0	3	0	0	0	1	0	0	2	0	0	0	0	1	1	7	0	4	0	1	1	1	3	0	0	1	0	1	5	1
Seth Godin's Blog on marketing, tribes and respect	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	1	1	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	1	2	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	1	0	0	4	1	1	0	0	0	0	3	0	0	1	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ongoing by Tim Bray	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	0	0	2	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	4	0	2	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	1	0	4	0	2	0	0	1	0	0	1	0	0	4	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	9	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	1	0	1	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	8	0	1	0	0	0	0	0	0	0	1	1	0	8	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	2	3	0	0	1
Daily Kos	19	3	6	0	4	1	28	12	3	8	10	6	5	7	29	1	5	2	3	64	7	4	8	5	12	1	8	12	50	4	6	3	6	6	7	2	5	12	0	0	25	26	11	22	10	3	3	11	8	3	10	6	2	7	22	5	19	3	4	7	4	8	0	3	8	4	3	3	26	5	5	6	9	2	14	8	18	78	3	0	15	6	15	2	3	4	46	4	90	2	0	7	5	6	18	50	4	5	1	0	3	13	2	13	14	2	7	13	9	7	5	0	0	2	9	4	2	17	14	17	1	5	22	1	9	8	1	3	10	8	3	1	0	1	1	7	3	7	2	13	0	0	7	7	14	1	15	1	1	5	4	2	6	25	5	12	0	3	6	3	3	32	2	6	6	16	8	5	4	17	6	2	11	8	6	5	5	4	5	4	6	43	3	1	0	3	32	3	9	8	4	4	11	6	17	1	7	15	12	0	1	23	28	24	15	10	1	2	15	3	6	2	5	7	5	8	1	1	6	1	12	1	31	19	0	3	1	7	7	4	2	6	3	12	86	6	3	6	9	6	5	24	2	7	0	7	15	6	6	3	10	5	2	6	0	5	0	2	5	11	5	1	5	0	1	6	19	4	4	3	2	8	12	0	6	0	10	1	4	74	5	6	0	4	0	12	9	5	12	6	5	0	6	32	12	2	13	9	3	36	4	6	6	9	4	15	14	4	11	6	17	4	0	51	3	2	7	0	6	2	6	2	2	20	4	0	0	6	15	3	24	0	10	1	11	4	14	8	2	6	0	6	52	2	19	29	11	2	0	3	3	0	1	8	54	1	1	1	16	6	6	38	7	12	3	13	12	6	8	10	7	3	4	17	11	0	15	18	6	46	69	6	35	29	24	5	10	12	2	29	2	2	3	15	0	6	31	11	0	11	8	5	13	26	6	25	3	8	16	2	8	12	1	3	11	29	40	6	11	1	1	23	6	18	3	6	6	0	5	7	0	25	6	7	1	3	6	10	27	6	11	10	13	30	7	4	8	3	3	9	4	0	3	15	1	4	6	17	5	10	6	11	5	14	2	14	4	4	1	25	2	15	5	21
Steve Pavlina's Personal Development Blog	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	2	1	0	1	0	1	0	1	2	0	1	0	0	0	0	0	2	6	10	1	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	3	1	1	0	0	0	0	0	2	0	0	7	0	0	0	0	1	1	0	0	2	0	1	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	8	0	1	2	3	0	0	0	2	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	1	1	2	1	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	5	0	0	1	1	2	1	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	2	6	1	0	0	0	0	0	4	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	1	3	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	4	0	2	0	0	0	0	1	0	0	0	0	1	1	2	0	5	0	0	2	0	0	0	1	0	0	1	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	4	1
Quick Online Tips	0	0	0	1	0	6	0	0	0	1	0	0	0	0	0	8	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	10	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	3	10	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	9	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	5	0	0	0	10	6	0	2	0	0	0	0	0	0	0	0	2	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	10	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
